cost_code,equipment,manufacturer,specification,capacity,hp,notes,unit,rate
8748,"Van, Small Cargo",2025 Metris Cargo Van,"Payload Capacity:2,150 lbs Seating Capacity:2 Towing Capacity:5,000 lbs [1] Cargo Volume:199.2",Wheelbase:135 in,208,,Hour,23.42
8749,"Van, Small Passenger",2025 Metris Passenger Van,"Payload Capacity:1,720 lbs Seating Capacity:8 Cargo Volume:37.43 Cu. Ft",8 Passenger,208,,Hour,23.86
8750,"Vehicle, Small",,,,,,Hour,8.22
8753,"Vehicle, Recreational",,,,,,Hour,5.13
8754,Motor Coach,"GVW=50534, 56 Passenger + 1-Driver",,,430,,Hour,82.69
8755,Golf Cart,,,,,,Hour,6.68
8761,"Vibrator, Concrete",Miscellaneous 2-7/21 - Motor-in-Head,,,2,Added from EW,Hour,1.79
8770,"Welder, Portable",Miller Bobcat 230 (Kohler) Engine Driven Welder 907824,"Output Range DC stick 20 230 A MIG/flux-cored 14 25 V Auxiliary Power Output Rated at 104 F (40 C) 11,000 watts peak, 9,500 watts continuous",,,,Hour,5.33
8771,"Welder, Portable",Miscellaneous DIESEL 300 DC-CC,,33,33,Added from EW,Hour,10.98
8772,"Welder, Portable",Miller Big Blue 600 Pro (Kubota) Deluxe w/ArcReach 907737001,"Output Range DC stick/TIG 20 600 A DC MIG/FCAW 15 50 V Auxiliary Output Rated at 104 F (40 C) 3-phase 27,000 watts peak, 20,000 watts continuous 1-phase 15,000 watts peak, 12,000 watts continuous",,,,Hour,19.79
8773,"Welder, Portable",Miller Big Blue 800 Duo Air Pak (Deutz) Diesel Welder w/WIC & ArcReach,"Output Range Single weld mode CC: 40 800 A, CV: 15 50 V Dual weld mode CC: 20 400 A, CV: 15 50 V Auxiliary Output Rated at 104 F (40 C) 3-phase 27,000 watts peak, 20,000 watts continuous 1-phase 15,000 watts peak, 12,000 watts continuous",,,,Hour,20.17
8780,"Truck, Water",Miscellaneous DSL 4X2 2500,,2500,150,Added from EW,Hour,35.05
8781,"Truck, Water",Miscellaneous BB2 DSL 6X4 4000 (disc. 1994),,4000,250,Added from EW,Hour,53.72
8789,"Truck, Tractor",FREIGHTLINER BUSINESS CLASS M2 106 PLUS 4X2,,"26,001 - 33,000 pounds",to 350,,Hour,75.13
8790,"Truck, Tractor",FREIGHTLINER BUSINESS CLASS M2 106 6X4,,"33,001 to 52,000 pounds",to 450,,Hour,91.1
8793,Truck,Ford F-450 Cutaway Truck (disc. 2018),,390,390,Added from EW for 2022,Hour,66.13
8794,"Truck, Freight",Dodge Ram Chassis 5500,,275,275,Added from EW for 2022,Hour,27.84
8795,"Truck, backhoe carrier",Miscellaneous 4X2 25KGVW DSL,,380,380,Added from EW for 2022,Hour,34.28
8796,"Truck, freight","Enclosed w/lift gate. Heavy duty, class 7",,,,,Hour,36.72
8797,"Truck, freight",M2-106 4x2 Diesel (disc. 2015),,,250,,Hour,54.34
8800,"Truck, Pickup",Any Size Pick Up Per Mile cost,,,,,Mile,0.7
8801,"Truck, Pickup",Miscellaneous 4X2 1/2 160 CONV DSL,,,160,Added from EW,Hour,17.51
8802,"Truck, Pickup",4X2 1 195 CONV DSL,,,195,Added from EW,Hour,17.45
8803,"Truck, Pickup",4X2 1 1/4 360 CONV DSL,,,360,Added from EW,Hour,27.82
8804,"Truck, Pickup",4X2 1 1/2 300 CONV DIESEL,,,310,Added from EW,Hour,29.09
8805,"Truck, Pickup",Miscellaneous 4X2 1 3/4 360 CONV DSL,,,360,Added from EW. Was 300-HP.,Hour,34.02
8806,"Truck, Pickup",Miscellaneous 4X2 3/4 160 CONV DSL,,,160,Added from EW,Hour,14.48
8807,"Truck, Pickup",Miscellaneous 4X4 3/4 285 CREW GAS,,,285,Added from EW,Hour,18.71
8808,"Truck, Pickup",4X4 1 340 CREW DSL,,,340,Added from EW,Hour,31.54
8809,"Truck, Pickup",4X4 1 1/4 360 CREW GAS,,,360,Added from EW,Hour,35.27
8810,"Truck, Pickup",4X4 1 1/2 362 CREW GAS,,,362,Added from EW,Hour,35.75
8811,"Truck, Pickup",4X4 1 3/4 362 CREW GAS,,,362,Added from EW,Hour,34.59
8822,"Truck, Loader",2023 BARKO 495B,"CSI 264 Ultra Delimber, 48"" Rotobec Grapple, Pitts Hydraulic Trailer, Ground Saw Ready,",,,,Hour,75.83
8823,Chipper- Wood Recycler,2021 BANDIT 2460T BEAST RECYCLER,,,560,,Hour,186.25
8824,Skidder,John Deere 640L-II (2020),,,237,,Hour,114.41
8825,Skidder,John Deere 948L-II (2020),,,300,,Hour,136.8
8840,"Truck, service",,,,,,Hour,46.29
8841,"Truck, fuel",Miscellaneous BB2 Gas 4X2 2000,,,,,Hour,42.54
8842,Mobile Command Center Trailer,,,,,,Hour,182.51
8843,Mobile Command Center Vehicle,GVWR: 54600 lbs,,,up to 550,,Hour,333.86
8844,Mobile Communications Trailer,Multi-purpose Mobile Mast System,"Tower trailer with generator, antena and station repeater.",Up to 60 foot height,,,Hour,13.46
8870,Light Tower,Generac MLT4080 8kW Mobile LED Light Tower,25 FT,25 FT,to 13,Added from EW,Hour,8.71
8871,Light Tower,Generac MLT4200 20kW Mobile Light Tower,25 FT,25 FT,to 40,Added from EW,Hour,5.49
8872,Sand Bagger Machine,Ultimate Bagger Sandbag Filling Machine,1200 Bags per Hour Filling and Sealing,2 Cubic Yard Hopper,,,Hour,42.95
8900,Helicopter,2018 Bell 407 GXI EMS- Ambulance,Ambulace,,,,Hour,2795.22
8901,Helicopter,2018 Bell 407GXi,7 Place Corporate Interior (2) Crew & (5) Passengers,7 Place Corporate Interior (2) Crew & (5) Passengers,,,Hour,1958.83
8902,Helicopter,Leonardo/Agusta Westland AW169,1 person crew and can transport up to 8 passengers,1 person crew and can transport up to 8 passengers,,,Hour,4157.36
8903,Helicopter,Sikorsky S-92,2 person crew and can transport up to 22 passengers.,2 person crew and can transport up to 22 passengers.,,,Hour,6430.46
8904,Helicopter,Sikorsky S-70M Firehawk helicopter,"1,000-gallon belly tank and other firefighting gear.","1,000-gallon belly tank and other firefighting gear.",,,Hour,10310.57
8906,Fixed wing,Cessna Turbo Stationair HD,Maximum Range 703 nm Maximum Cruise Speed 161 ktas Maximum Passengers 6 Maximum Range 703 NM,6 Passenger,,,Hour,661.42
8907,Fixed wing,Cessna Caravan EX,"Maximum Cruise Speed 186 ktas Maximum Passengers 10-14 Maximum Range 1,070 NM",10 to 14 Passengers,,,Hour,1530.01
8914,Fixed wing,Cessna SkyCourier (Passenger),Maximum Cruise Speed 210 ktas Maximum Passengers 19 Maximum Range 920 NM,19 Passenger,,,Hour,2788.54
8915,Fixed wing,Bombardier Challenger 3500 (Jet),"Maximum Cruise Speed 882 KM/H Maximum Passengers 10 Maximum Range 3,400 NM",10 Passenger,,,Hour,7890.84
8916,Fixed wing,Bombardier Global 8000,"Maximum Cruise Speed 940 KM/H Maximum Passengers 19 Maximum Range 8,000 NM",19 Passenger,,,Hour,9604.18
8943,Wire Puller Machine,UD-50 Underground Puller,"Engine 8-10 Hp TBA Fuel Capacity 1.25 gallons Pulling Rope 3/8 in. dia. Steel Cable Reel Capacity 1,500 ft. (3/8 in. dia.) Skid Frame Construction Steel tubing, continuous-weld Wheel Configuration & Tires 14 x 5.5 Drop Center; ST205-75R 14BC Brakes, trailer Electric, Standard",,,,Hour,23.24
8944,Wire Tensioning Machine,HOGG DAVIS OLT-38 BULLWHEEL TENSIONER,"Maximum Continuous Tension of 5,000 lbs @ 4 MPH Bullwheel Diameter 38in Reel Capacity 54in W x 90in D Maximum Reel Weight 8,000 lbs.",,,,Hour,18.33
